序号,MySQL中ID,链接,创建日期,最近更新,类型,状态,严重性,版本,操作系统,CPU架构,摘要
11,118201,https://bugs.mysql.com/bug.php?id=118201,2025-05-15 02:37:00,2025-07-16 19:52:00,Connector / J,Closed(78 days),S3,9.0.0,Any,Any,A potential bug in Mysql Connector/J
12,118122,https://bugs.mysql.com/bug.php?id=118122,2025-05-06 16:07:00,2025-05-07 12:13:00,MySQL Server,Closed(139 days),S3,8.0.41,Windows (Windows 11),x86,Exception Loading keyring_file.dll on Windows in v8.0.41
13,118100,https://bugs.mysql.com/bug.php?id=118100,2025-05-01 21:15:00,2025-07-18 20:33:00,Connector / J,Closed(78 days),S3,9.3.0,Any,Any,`You have an error in your SQL syntax` exception thrown after `mysql-connector-j` `9.2.0` -> `9.3.0` upgrade
14,118079,https://bugs.mysql.com/bug.php?id=118079,2025-04-29 05:56:00,2025-07-16 18:14:00,Connector / J,Closed(78 days),S3,"9.2.0, 9.3.0",Any,Any,An output message error
15,118078,https://bugs.mysql.com/bug.php?id=118078,2025-04-29 05:33:00,2025-04-29 07:33:00,Connector / J,Closed(147 days),S3,8.0.32,Any,Any,A potential failure in Mysql Connector/J
16,118067,https://bugs.mysql.com/bug.php?id=118067,2025-04-28 09:19:00,2025-06-17 09:34:00,Connector / ODBC,Closed(98 days),S3,,Any,Any,Deprecated license use (mysql-linking-exception-2018
17,118025,https://bugs.mysql.com/bug.php?id=118025,2025-04-21 13:38:00,2025-07-03 21:48:00,Connector / Python,Closed(82 days),S1,9.3.0,Any,Any,mysql/connector python version 9.3.0 has a regression which cannot persist binary data with percent signs in it
18,117989,https://bugs.mysql.com/bug.php?id=117989,2025-04-15 14:58:00,2025-04-17 06:06:00,MySQL Server,Closed(159 days),S1,8.4.5,Any (AlmaLinux/CloudLinux/Rocky Linux),x86,After upgrading to version 8.4.5 MySQL will throw database connection error in all sites
19,117976,https://bugs.mysql.com/bug.php?id=117976,2025-04-14 12:03:00,2025-07-15 20:09:00,Connector / NET,Closed(70 days),S1,9.2.0,Any,Any,Entity Framework 6 from NET9 is deprecated due to Nunit4 Upgrade
20,117950,https://bugs.mysql.com/bug.php?id=117950,2025-04-11 13:46:00,2025-04-15 13:02:00,MySQL Server: Security: Privileges,Closed(161 days),S3,8.4.4,Any (OL9),Any (OL9.5),Grant statements using netmasks don't support subnets other than those ending with a decimal 0
21,117918,https://bugs.mysql.com/bug.php?id=117918,2025-04-08 20:31:00,2025-08-18 11:50:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(133 days),S3,8.4,Any,Any,Contribution: Fix warning 1296
22,117907,https://bugs.mysql.com/bug.php?id=117907,2025-04-08 08:02:00,2025-05-15 15:30:00,MySQL Server: Optimizer,Closed(131 days),S5,"8.4.4, 9.2.0",Any,Any,Performance degradation in MySQL>=8.4 vs MySQL 8.0 due to redundant condition not optimized away
23,117845,https://bugs.mysql.com/bug.php?id=117845,2025-04-01 18:15:00,2025-04-14 21:10:00,MySQL Server: Optimizer,Closed(162 days),S3,8.0.41,Ubuntu,Any,WHERE ... IN Returning Unexpected Row
24,117827,https://bugs.mysql.com/bug.php?id=117827,2025-03-28 17:54:00,2025-09-03 17:02:00,Connector / Python,Closed(20 days),S3,9.2.0,Any,Any,Inconsistent conversion to_sql for cext vs pure python
25,117772,https://bugs.mysql.com/bug.php?id=117772,2025-03-22 08:41:00,2025-06-17 15:55:00,MySQL Server: Performance Schema,Closed(98 days),S5,"8.0, 8.4., 9.2.0",Any,Any,Debug code in pfs_get_thread_statement_locker_vc() leaking to release builds
26,117763,https://bugs.mysql.com/bug.php?id=117763,2025-03-20 15:06:00,2025-05-09 10:46:00,Connector / C++,Closed(186 days),S3,9.0,Any,Any,Contribution: Clear the return variable from the CMake cache
27,117716,https://bugs.mysql.com/bug.php?id=117716,2025-03-15 19:05:00,2025-03-18 17:42:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(189 days),S3,9.1.0-cluster,Ubuntu (18.04),Any,Inconsistent result when using ndb cluster
28,117666,https://bugs.mysql.com/bug.php?id=117666,2025-03-11 10:59:00,2025-03-25 22:54:00,MySQL Server: Optimizer,Closed(182 days),S2,8.0.41,Any,Any,"EXPLAIN FORMAT=TREE does not say the index is covering, unlike plain EXPLAIN"
29,117659,https://bugs.mysql.com/bug.php?id=117659,2025-03-10 19:24:00,2025-06-18 08:00:00,MySQL Server: InnoDB storage engine,Closed(97 days),S3,"8.4.4, 9.2.0",Any,Any,OpenTelemetry symbols pollute MySQL Community Edition binaries.
30,117627,https://bugs.mysql.com/bug.php?id=117627,2025-03-06 01:52:00,2025-06-12 11:01:00,Connector / J,Closed(103 days),S2,8.0.25,Linux,Any,useCompression=true  cause  Direct Memory rise
31,117625,https://bugs.mysql.com/bug.php?id=117625,2025-03-05 21:35:00,2025-06-17 15:43:00,MySQL Server: Performance Schema,Closed(98 days),S3,"9.2.0, 8.4.4, 8.0.41",Any,Any,Error in code comment in P_S: s/start_file_open_wait/end_file_open_wait/.
32,117596,https://bugs.mysql.com/bug.php?id=117596,2025-02-27 15:55:00,2025-03-27 07:21:00,MySQL Server: C API (client library),Closed(181 days),S3,9.2.0,Any,Any,Contribution: Document previously undocumented behavior regarding the sendi ...
33,117579,https://bugs.mysql.com/bug.php?id=117579,2025-02-26 13:48:00,2025-07-07 23:31:00,Connector / J,Closed(78 days),S3,8.0,Any,Any,Contribution: Return UUID from ResultSet#getObject()
34,117548,https://bugs.mysql.com/bug.php?id=117548,2025-02-23 23:07:00,2025-07-04 21:14:00,Connector / Python,Closed(81 days),S1,9.2.0,Any,Any,mysql/connector python fetchmany() has an off by one bug when argument given as 1
35,117459,https://bugs.mysql.com/bug.php?id=117459,2025-02-13 03:02:00,2025-03-21 11:05:00,MySQL Server: InnoDB storage engine,Closed(186 days),S3,8.0.32,Any,Any,"Cross DDL operations on MySQL partitioned tables, parallel COUNT(*) does not report errors."
36,117391,https://bugs.mysql.com/bug.php?id=117391,2025-02-05 15:21:00,2025-03-13 13:44:00,MySQL Server: Compiling,Closed(194 days),S3,9.2.0,Any,Any,Contribution: protocol_classic: clarify param type and flag
37,117377,https://bugs.mysql.com/bug.php?id=117377,2025-02-03 20:00:00,2025-02-10 12:07:00,Connector / ODBC,Closed(225 days),S1,9.0.2,Windows (Windows 11),Any,ODBC Connector > 9.0.0 causes RStudio session to crash
38,117374,https://bugs.mysql.com/bug.php?id=117374,2025-02-03 15:21:00,2025-03-13 14:00:00,MySQL Server: Compiling,Closed(194 days),S3,9.2,Any,Any,Contribution: Modified condition from gt to gte for distinguishing OK packe ...
39,117373,https://bugs.mysql.com/bug.php?id=117373,2025-02-03 15:21:00,2025-03-13 14:21:00,MySQL Server: Compiling,Closed(194 days),S3,9.2,Any,Any,Contribution: Fix Example Packets for COM_STMT_PREPARE Response and Suggest ...
40,117347,https://bugs.mysql.com/bug.php?id=117347,2025-01-30 19:17:00,2025-05-09 10:45:00,Connector / Python,Closed(196 days),S3,9.2,Any,Any,Contribution: Fix typing annotation of MySQLConnectionAbstract\'s `close` f ...
41,117341,https://bugs.mysql.com/bug.php?id=117341,2025-01-30 14:16:00,2025-01-31 13:30:00,MySQL Server,Closed(235 days),S3,>=8.4,MacOS,ARM,Cannot drop index '<unknown key name>' when altering table in any way
42,117314,https://bugs.mysql.com/bug.php?id=117314,2025-01-28 14:41:00,2025-06-18 07:23:00,MySQL Server: InnoDB storage engine,Closed(97 days),S3,9.3.0,MacOS (15.3),ARM,Test innodb.tablespace_encrypt_9 failing
43,117294,https://bugs.mysql.com/bug.php?id=117294,2025-01-27 09:38:00,2025-03-25 19:33:00,Connector / J,Closed(182 days),S2,9.2.0,Any,Any,Updatable ResultSet fails with 'Parameter index out of range'
44,117275,https://bugs.mysql.com/bug.php?id=117275,2025-01-23 07:14:00,2025-01-23 08:39:00,MySQL Server: Optimizer,Closed(243 days),S2,8.0.40,Any,Any,"when index_merge is on, the result is incorrect"
45,117270,https://bugs.mysql.com/bug.php?id=117270,2025-01-22 16:00:00,2025-08-20 10:14:00,MySQL Server: Command-line Clients,Closed(34 days),S3,"8.0, 8.4, 9.0",Any,Any,Contribution: Report third decimal place for milliseconds
46,117264,https://bugs.mysql.com/bug.php?id=117264,2025-01-22 09:48:00,2025-01-29 11:27:00,Connector / ODBC,Closed(237 days),S3,9.2,Windows,x86,"Arabic font rendering issue in Crystal Reports after updating to MySQL Connector/ODBC 9.2.0"""
47,117259,https://bugs.mysql.com/bug.php?id=117259,2025-01-22 07:17:00,2025-01-30 01:03:00,MySQL Server: InnoDB storage engine,Closed(236 days),S2,8.0.41,Any,Any,Bugfix of Bug#37318367 in 8.0.41 contains an obvious logical issue
48,117258,https://bugs.mysql.com/bug.php?id=117258,2025-01-21 20:36:00,2025-03-17 20:23:00,Connector / NET,Closed(190 days),S3,9.0.,Any,Any (x64),Cannot Perform Database Migration using MySql.EntityFrameworkCore 9.0.0
49,117227,https://bugs.mysql.com/bug.php?id=117227,2025-01-17 16:36:00,2025-02-07 13:56:00,MySQL Server: Data Types,Closed(229 days),S3,8.0,Linux,Any,LPAD function false
50,117205,https://bugs.mysql.com/bug.php?id=117205,2025-01-14 14:18:00,2025-08-18 11:50:00,MySQL Cluster: Cluster/J,Closed(84 days),S3,8.4,Any,Any,Contribution: RonDB contribution of ClusterJ changes
51,117200,https://bugs.mysql.com/bug.php?id=117200,2025-01-13 14:43:00,2025-01-15 11:14:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(251 days),S3,8.4.3,Any,Any,Missing initialisation of failureNr in copyApi
52,117168,https://bugs.mysql.com/bug.php?id=117168,2025-01-09 12:02:00,2025-03-15 13:22:00,MySQL Server: Optimizer,Closed(192 days),S3,"9.1.0, 8.0.40, 8.4.3",Any,Any,NULL-safe equals operator (<=>) exhibits incorrect behavior when comparing ROW values containing NULL
53,117132,https://bugs.mysql.com/bug.php?id=117132,2025-01-08 08:18:00,2025-01-08 10:08:00,MySQL Server: Optimizer,Closed(258 days),S3,8.0.32,Any,Any,drived_merge optimization error
54,117102,https://bugs.mysql.com/bug.php?id=117102,2025-01-03 08:48:00,2025-01-13 14:50:00,MySQL Server: Replication,Closed(253 days),S3,8.0.34,Any,Any,Histogram Statistics Analysis cannot apply on standby database
55,117093,https://bugs.mysql.com/bug.php?id=117093,2025-01-02 05:51:00,2025-02-17 21:30:00,MySQL Server: Data Types,Closed(252 days),S3,"8.4.1, 8.0.40",Windows (windows 11),x86 (x86_64),The comparison results of DECIMAL type data do not meet expectations.
56,117087,https://bugs.mysql.com/bug.php?id=117087,2024-12-31 16:59:00,2025-06-14 18:34:00,Connector / Python,Closed(196 days),S3,9.1.0,Linux (Arch Linux),x86,Unable to escape a parameter marker (`%s`) used in a query that should not be treated as a parameter marker
57,117085,https://bugs.mysql.com/bug.php?id=117085,2024-12-31 08:50:00,2025-03-14 20:44:00,MySQL Server: Optimizer,Closed(193 days),S5,8.0.40,Any,x86,Performance issue with Multi-Valued Index and ORDER BY DESC LIMIT (Reads more data than expected)
58,117027,https://bugs.mysql.com/bug.php?id=117027,2024-12-20 02:45:00,2025-02-24 23:13:00,Connector / J,Closed(211 days),S5,9.X AND 8.X,Any,Any,Mysql connector use an uneffective way to match numericValue
59,117020,https://bugs.mysql.com/bug.php?id=117020,2024-12-19 05:28:00,2025-07-15 21:15:00,Connector / NET,Closed(70 days),S2,9.1,Windows,Any,Connector/Net Not honouring MinPoolSize Configuration
60,117013,https://bugs.mysql.com/bug.php?id=117013,2024-12-18 14:19:00,2025-03-20 15:14:00,MySQL Server: Optimizer,Closed(187 days),S3,8.0,Any,Any,MAX() as a Window Function Blindly Returns NULL for the First Row under Specific Conditions
61,116995,https://bugs.mysql.com/bug.php?id=116995,2024-12-17 07:48:00,2025-01-20 11:01:00,Connector / ODBC,Closed(246 days),S3,9.1.0,Windows,Any,Not able to create ODBC connection
62,116952,https://bugs.mysql.com/bug.php?id=116952,2024-12-11 16:20:00,2025-01-24 22:00:00,MySQL Router,Closed(242 days),S3,8.4.3,Any,Any,"Router w/ RW split causes ERROR: 4501 if sql script contains comments lines (""-- "")"
63,116950,https://bugs.mysql.com/bug.php?id=116950,2024-12-11 16:11:00,2025-01-24 22:06:00,MySQL Router,Closed(242 days),S3,8.4.3,Any (4.18.0-553.22.1.el8_10.x86_64),Any,Router Read-Write splitting config causes PHP RSET_HEADER error
64,116845,https://bugs.mysql.com/bug.php?id=116845,2024-12-02 14:26:00,2024-12-10 23:46:00,MySQL Server: mysqldump Command-line Client,Closed(287 days),S3,9.1.0,Any,Any,Contribution: Remove whitespace between INSERT/REPLACE and IGNORE in databa ...
65,116844,https://bugs.mysql.com/bug.php?id=116844,2024-12-02 14:26:00,2025-01-14 19:25:00,MySQL Server: Command-line Clients,Closed(252 days),S3,9.1.0,Any,Any,Contribution: fix mysqlslap --ssl-mode=disable not working issue
66,116795,https://bugs.mysql.com/bug.php?id=116795,2024-11-27 05:02:00,2024-11-27 11:07:00,MySQL Server,Closed(300 days),S3,8.0.32,Any,Any,get_oldest_view cost too much and block other oprator
67,116779,https://bugs.mysql.com/bug.php?id=116779,2024-11-26 07:22:00,2024-12-10 14:11:00,MySQL Server: Compiling,Closed(294 days),S3,latest commit,Windows (Windows 11),x86,Include <chrono> for system_clock
68,116762,https://bugs.mysql.com/bug.php?id=116762,2024-11-24 09:01:00,2024-12-03 22:44:00,MySQL Server: Optimizer,Closed(294 days),S2,"8.0.36, 8.0.40, 8.4.3",Any (Redhat 7.4),Any (Intel),Optimizer gives 'Impossible where' without considering field collation
69,116748,https://bugs.mysql.com/bug.php?id=116748,2024-11-21 15:46:00,2025-03-03 17:17:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(300 days),S3,9.0,Any,Any,Contribution: Fix buffer overflow in ndb config
70,116737,https://bugs.mysql.com/bug.php?id=116737,2024-11-21 02:37:00,2025-02-06 22:33:00,MySQL Server: Security: Privileges,Closed(229 days),S3,9.1.0,Any,Any,Change the types of all ACL variables to Access_bitmask
71,116730,https://bugs.mysql.com/bug.php?id=116730,2024-11-20 13:01:00,2024-11-20 13:56:00,Connector / NET,Closed(307 days),S3,9.1.,Windows (10),Any,Mysql.Data C# Net connector version 9.1.0 Mysql.Data.Mysqlclient.net
72,116718,https://bugs.mysql.com/bug.php?id=116718,2024-11-20 04:01:00,2024-11-20 04:04:00,Connector / NET,Closed(307 days),S1,,Any,Any,NullReferenceException in MySQLMigrationsSqlGenerator with RenameColumnOperation
73,116704,https://bugs.mysql.com/bug.php?id=116704,2024-11-19 07:46:00,2025-07-15 20:28:00,Connector / NET,Closed(70 days),S2,"8,0",Any,Any,MySql.EntityFrameworkCore 8.0.8 rename bug
74,116657,https://bugs.mysql.com/bug.php?id=116657,2024-11-14 12:44:00,2025-07-03 06:20:00,Connector / ODBC,Closed(83 days),S3,8.0.40,Windows (Windows11),x86,Retrieving list of records that contain an empty blob causes undefined behaviour
75,116625,https://bugs.mysql.com/bug.php?id=116625,2024-11-12 07:15:00,2025-03-03 17:15:00,MySQL Server: Performance Schema,Closed(294 days),S3,8.0.40,Any,Any,The LOCK_TYPE in PFS.metadata_locks not change after MDL upgrade or downgrade
76,116569,https://bugs.mysql.com/bug.php?id=116569,2024-11-06 14:59:00,2025-01-09 10:52:00,Connector / C++,Closed(273 days),S3,8.0,Any,Any,Terminate called after throwing an instance of 'cdk::foundation::Error'
77,116559,https://bugs.mysql.com/bug.php?id=116559,2024-11-05 13:00:00,2025-03-04 21:35:00,Connector / ODBC,Closed(203 days),S2,9.1.0,Any,Any,ODBC connector uses deprecated mysql_real_escape_string function
78,116499,https://bugs.mysql.com/bug.php?id=116499,2024-10-29 06:39:00,2025-03-03 09:14:00,Connector / C++,Closed(204 days),S3,9.1.0,Fedora (41),Any,post-uninstall scriptlet output in mysql-connector-c++-jdbc
79,116479,https://bugs.mysql.com/bug.php?id=116479,2024-10-25 08:42:00,2025-02-07 13:57:00,MySQL Server: JSON,Closed(229 days),S3,8.0.36,Any,Any,json value unexpected with default ''
80,116478,https://bugs.mysql.com/bug.php?id=116478,2024-10-25 08:12:00,2024-10-29 08:37:00,MySQL Package Repos,Closed(329 days),S3,,Fedora (41),Any,Fedora 41 missing from repo
81,116467,https://bugs.mysql.com/bug.php?id=116467,2024-10-24 09:00:00,2024-10-31 08:42:00,MySQL Server: DML,Closed(327 days),S5,8.0.39,Oracle Linux (8),x86,The DML performance of a single connection in MySQL 8 is half that of MySQL 5.7.
82,116463,https://bugs.mysql.com/bug.php?id=116463,2024-10-23 20:38:00,2025-04-14 15:09:00,MySQL Server: InnoDB storage engine,Closed(162 days),S5,8.0,Any,Any,behavior related to innodb_spin_wait_delay changed in 8.0.30
83,116418,https://bugs.mysql.com/bug.php?id=116418,2024-10-19 13:14:00,2024-10-20 14:35:00,MySQL Server: InnoDB storage engine,Closed(339 days),S2,,Any,Any,innodb_cached_indexes no longer shows cached_indexes but page reads
84,116415,https://bugs.mysql.com/bug.php?id=116415,2024-10-19 06:27:00,2024-11-06 22:52:00,MySQL Server: DML,Closed(321 days),S1,"8.4.2, 8.0.40",Ubuntu,Any,Table union data error
85,116406,https://bugs.mysql.com/bug.php?id=116406,2024-10-18 09:19:00,2024-11-04 12:37:00,MySQL Server: C API (client library),Closed(323 days),S3,9.1.0,Windows (MSYS2),Any,libmysqlclient add MSYS package support
86,116393,https://bugs.mysql.com/bug.php?id=116393,2024-10-17 12:46:00,2025-03-04 12:33:00,MySQL Server: DML,Closed(251 days),S5,8.0,Any,Any,"Degrading performance of MD5(), SHA2() functions"
87,116377,https://bugs.mysql.com/bug.php?id=116377,2024-10-16 13:49:00,2025-03-26 08:41:00,MySQL Workbench,Closed(322 days),S1,8.0.40,Any,Any,Unable to log in after upgrading to workbench 8.0.40
88,116375,https://bugs.mysql.com/bug.php?id=116375,2024-10-16 12:40:00,2025-05-13 14:26:00,MySQL Server: Replication,Closed(133 days),S3,8.0.41,MacOS (15.0.1),ARM,UBSan error on Rpl_commit_order_queue_test.Simulate_mts
89,116353,https://bugs.mysql.com/bug.php?id=116353,2024-10-14 09:57:00,2025-03-10 10:58:00,MySQL Server: InnoDB storage engine,Closed(197 days),S3,8.0.39,Any,Any,"Unexpected creation of an large index, causing an inaccessible table"
90,116351,https://bugs.mysql.com/bug.php?id=116351,2024-10-14 01:22:00,2024-12-18 14:53:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(279 days),S3,8.0.35-cluster MySQL Cluster Community S,Any,Any,Error assigning node ID during synchronization of mysql NDB cluster
91,116339,https://bugs.mysql.com/bug.php?id=116339,2024-10-11 00:16:00,2024-11-21 21:52:00,MySQL Server: Connection Handling,Closed(306 days),S3,9.0,Any,Any,Contribution: Fix Incorrect Payload Length for COM_QUERY Example Packet
92,116334,https://bugs.mysql.com/bug.php?id=116334,2024-10-10 16:10:00,2024-11-22 13:33:00,MySQL Server: Optimizer,Closed(321 days),S2,8.0.39,Any,Any,Incorrect result with LEFT JOIN and small join_buffer_size
93,116318,https://bugs.mysql.com/bug.php?id=116318,2024-10-09 03:34:00,2024-12-19 01:38:00,Connector / J,Closed(278 days),S2,9.0.0,Any,Any,useServerPrepStmts useLocalTransactionState cause first execute rollback failure
94,116303,https://bugs.mysql.com/bug.php?id=116303,2024-10-05 07:15:00,2024-10-07 09:37:00,MySQL Server: InnoDB storage engine,Closed(351 days),S3,8.0,Any,Any,buf_fix_count of page may become negative with small buffer pool
95,116285,https://bugs.mysql.com/bug.php?id=116285,2024-10-02 14:47:00,2024-10-04 09:22:00,Connector / Python,Closed(355 days),S3,8.0.15,Debian (Sid),Any,AttributeError: module 'ssl' has no attribute 'wrap_socket'
96,116265,https://bugs.mysql.com/bug.php?id=116265,2024-09-28 21:46:00,2024-09-30 10:17:00,Shell AdminAPI InnoDB Cluster / ReplicaSet,Closed(358 days),S3,2.2.1,Ubuntu,x86,Cant install helm chart with innodb-cluster
97,116239,https://bugs.mysql.com/bug.php?id=116239,2024-09-26 08:39:00,2025-05-09 10:38:00,Tools: MTR / mysql-test-run,Closed(193 days),S3,8.0.39,Any,Any,include/assert_grep.inc is wrong
98,116231,https://bugs.mysql.com/bug.php?id=116231,2024-09-25 15:01:00,2025-01-08 16:39:00,Shell AdminAPI InnoDB Cluster / ReplicaSet,Closed(258 days),S3,8.4.1,Red Hat (8.9),x86,"Router reports: Ignoring unsupported instance <host:port>, type: 'group-member'"
99,116212,https://bugs.mysql.com/bug.php?id=116212,2024-09-24 09:29:00,2025-03-03 17:13:00,MySQL Server: FULLTEXT search,Closed(294 days),S3,8.4.2,Any,Any,fts_delete is not crash-safe if binlog is disabled
100,116175,https://bugs.mysql.com/bug.php?id=116175,2024-09-20 08:35:00,2024-11-08 01:47:00,MySQL Server: DDL,Closed(319 days),S3,all,Any,Any,The declaration of dd_set_autoinc is repeated.
101,116140,https://bugs.mysql.com/bug.php?id=116140,2024-09-18 10:28:00,2025-01-16 07:20:00,MySQL Server: Optimizer,Closed(250 days),S3,8.0,Any,Any,stored procedure is producing different results in different attempts
102,116120,https://bugs.mysql.com/bug.php?id=116120,2024-09-16 12:02:00,2025-07-18 20:31:00,Connector / J,Closed(77 days),S2,9.0.0,Any,Any,Inappropriate charset selected for connection when jdk.charsets not included
103,116119,https://bugs.mysql.com/bug.php?id=116119,2024-09-16 11:24:00,2024-09-18 09:08:00,Connector / C++,Closed(370 days),S3,,Ubuntu,x86,"use onnector-c++ 9.0.0 to save base64 data to blob column, segment fault occur"
104,116114,https://bugs.mysql.com/bug.php?id=116114,2024-09-15 18:46:00,2024-10-07 16:37:00,Connector / J,Closed(351 days),S3,>= 8.0.23,Any,Any,Connector/J is writing incorrect values when passed negative dates
105,116113,https://bugs.mysql.com/bug.php?id=116113,2024-09-15 17:45:00,2025-01-15 15:59:00,Connector / J,Closed(251 days),S3,9.0,Any,Any,DatabaseMetaData#getTables doesn't work properly for delimited identifiers
106,116087,https://bugs.mysql.com/bug.php?id=116087,2024-09-12 10:44:00,2025-03-04 20:28:00,Connector / ODBC,Closed(203 days),S3,9.0.0,Any,Any,Time type not formatted correctly in SSPS mode
107,116066,https://bugs.mysql.com/bug.php?id=116066,2024-09-11 16:21:00,2024-09-13 13:45:00,MySQL Package Repos,Closed(375 days),S2,8.0,SUSE (SLES 15.6),x86,mysql80-community-release For SLES15 Improperly Signed
108,116051,https://bugs.mysql.com/bug.php?id=116051,2024-09-10 07:38:00,2024-09-10 08:18:00,MySQL Workbench: SQL Editor,Closed(378 days),S3,,Any,Any,Search not working properly
109,116028,https://bugs.mysql.com/bug.php?id=116028,2024-09-06 12:15:00,2024-09-30 19:40:00,Connector / NET,Closed(358 days),S2,"8.x, 9.x",Any,Any,EntityFramework SQL generation of TPT pseudo discriminator column incorrect
110,116004,https://bugs.mysql.com/bug.php?id=116004,2024-09-04 21:30:00,2024-09-09 21:54:00,MySQL Package Repos,Closed(379 days),S3,,Ubuntu,Any,Workbench package missing from official APT repository
111,115962,https://bugs.mysql.com/bug.php?id=115962,2024-08-29 14:21:00,2024-11-15 22:46:00,MySQL Server: Optimizer,Closed(357 days),S3,5.7,Any,Any,Quantified comparison predicate and NOT NOT gives wrong result
112,115953,https://bugs.mysql.com/bug.php?id=115953,2024-08-28 14:25:00,2024-11-06 12:40:00,MySQL Server: Options,Closed(321 days),S3,">= 8.0.31, 8.0.39",Linux,x86 (64-bit),inconsistency in whether SHOW GRANTS quotes Function or Stored Procedure's name
113,115924,https://bugs.mysql.com/bug.php?id=115924,2024-08-25 04:13:00,2024-10-21 02:32:00,MySQL Server: InnoDB storage engine,Closed(337 days),S3,8.0.37,Any,Any,The parallel check table does not compare all primary key records
114,115875,https://bugs.mysql.com/bug.php?id=115875,2024-08-20 15:07:00,2024-08-21 08:59:00,MySQL Package Repos,Closed(398 days),S2,8.0,SUSE (15),x86,Signature verification failed for file 'repomd.xml'
115,115861,https://bugs.mysql.com/bug.php?id=115861,2024-08-19 13:02:00,2025-08-18 11:50:00,MySQL Server: Replication,Closed(133 days),S3,"5.7, 8.0",Any,Any,Issues with strcmp when binlog suffix number exceeds six digits
116,115853,https://bugs.mysql.com/bug.php?id=115853,2024-08-16 21:43:00,2025-03-26 09:33:00,Connector / NET,Closed(277 days),S3,9.0.0,Any,Any,Contribution: ConcurrencyFix - Added back in RowCount checking
117,115845,https://bugs.mysql.com/bug.php?id=115845,2024-08-15 13:09:00,2025-09-05 22:27:00,Connector / J,Closed(77 days),S3,9.0,Any,Any,Contribution: Set correct OTel Span name for transaction commits
118,115844,https://bugs.mysql.com/bug.php?id=115844,2024-08-15 13:09:00,2024-08-20 14:35:00,MySQL Server: Performance Schema,Closed(399 days),S3,9.0,Any,Any,Contribution: Fix erroneous comment in table_hosts.h
119,115798,https://bugs.mysql.com/bug.php?id=115798,2024-08-08 11:54:00,2024-09-18 09:51:00,Shell Upgrade Checker,Closed(370 days),S2,8.4.1,Any,Any,util.checkForServerUpgrade() claims upgrade version 8.0.x to 8.4.x not supported
120,115788,https://bugs.mysql.com/bug.php?id=115788,2024-08-06 19:27:00,2025-01-08 21:57:00,Connector / Python,Closed(258 days),S2,8.4.0,Any,Any,"Option `connection_timeout` is overwritten and works as ""query"" timeout instead"
